	pos	hei	wei	ID	filename
30.3b_I_B07_2012-07-18.fsa.18	3055	1443.41364598131	215	30.3b	30.3b_I_B07_2012-07-18.fsa.18
30.3b_I_B07_2012-07-18.fsa.19	3055	1443.41364598131	215	30.3b	30.3b_I_B07_2012-07-18.fsa.19
30.3b_I_B07_2012-07-18.fsa.20	3055	1443.41364598131	215	30.3b	30.3b_I_B07_2012-07-18.fsa.20
33.1a_I_C01_2012-07-18.fsa.1	3048	119	212	33.1a	33.1a_I_C01_2012-07-18.fsa.1
33.1a_I_C01_2012-07-18.fsa.2	3090	12424	215	33.1a	33.1a_I_C01_2012-07-18.fsa.2
33.1a_I_C01_2012-07-18.fsa.3	3120	102	218	33.1a	33.1a_I_C01_2012-07-18.fsa.3
33.1b_I_C07_2012-07-18.fsa.1	3046	3604.74783960096	215	33.1b	33.1b_I_C07_2012-07-18.fsa.1
33.1b_I_C07_2012-07-18.fsa.2	3046	3604.74783960096	215	33.1b	33.1b_I_C07_2012-07-18.fsa.2
33.1b_I_C07_2012-07-18.fsa.3	3046	3604.74783960096	215	33.1b	33.1b_I_C07_2012-07-18.fsa.3
33.1b_I_C07_2012-07-18.fsa.4	3046	3604.74783960096	215	33.1b	33.1b_I_C07_2012-07-18.fsa.4
33.1b_I_C07_2012-07-18.fsa.5	3046	3604.74783960096	215	33.1b	33.1b_I_C07_2012-07-18.fsa.5
33.1b_I_C07_2012-07-18.fsa.6	3046	3604.74783960096	215	33.1b	33.1b_I_C07_2012-07-18.fsa.6
33.1b_I_C07_2012-07-18.fsa.7	3046	3604.74783960096	215	33.1b	33.1b_I_C07_2012-07-18.fsa.7
33.1b_I_C07_2012-07-18.fsa.8	3046	3604.74783960096	215	33.1b	33.1b_I_C07_2012-07-18.fsa.8
33.1b_I_C07_2012-07-18.fsa.9	3046	3604.74783960096	215	33.1b	33.1b_I_C07_2012-07-18.fsa.9
33.1b_I_C07_2012-07-18.fsa.10	3046	3604.74783960096	215	33.1b	33.1b_I_C07_2012-07-18.fsa.10
33.1b_I_C07_2012-07-18.fsa.11	3046	3604.74783960096	215	33.1b	33.1b_I_C07_2012-07-18.fsa.11
33.1b_I_C07_2012-07-18.fsa.12	3046	3604.74783960096	215	33.1b	33.1b_I_C07_2012-07-18.fsa.12
33.1b_I_C07_2012-07-18.fsa.13	3046	3604.74783960096	215	33.1b	33.1b_I_C07_2012-07-18.fsa.13
33.1b_I_C07_2012-07-18.fsa.14	3046	3604.74783960096	215	33.1b	33.1b_I_C07_2012-07-18.fsa.14
33.1b_I_C07_2012-07-18.fsa.15	3046	3604.74783960096	215	33.1b	33.1b_I_C07_2012-07-18.fsa.15
33.1b_I_C07_2012-07-18.fsa.16	3046	3604.74783960096	215	33.1b	33.1b_I_C07_2012-07-18.fsa.16
33.1b_I_C07_2012-07-18.fsa.17	3046	3604.74783960096	215	33.1b	33.1b_I_C07_2012-07-18.fsa.17
33.1b_I_C07_2012-07-18.fsa.18	3046	3604.74783960096	215	33.1b	33.1b_I_C07_2012-07-18.fsa.18
33.1b_I_C07_2012-07-18.fsa.19	3046	3604.74783960096	215	33.1b	33.1b_I_C07_2012-07-18.fsa.19
33.1b_I_C07_2012-07-18.fsa.20	3046	3604.74783960096	215	33.1b	33.1b_I_C07_2012-07-18.fsa.20
Multiplex_set_I_Shaem.1a_1_Sample_20221028_215632.fsa.1	3070	2897	182	Multiplex_set_I_Shaem.1a	Multiplex_set_I_Shaem.1a_1_Sample_20221028_215632.fsa.1
Multiplex_set_I_Shaem.1a_1_Sample_20221028_215632.fsa.2	3108	4876	185	Multiplex_set_I_Shaem.1a	Multiplex_set_I_Shaem.1a_1_Sample_20221028_215632.fsa.2
Multiplex_set_I_Shaem.1a_1_Sample_20221028_215632.fsa.3	3145	2839	188	Multiplex_set_I_Shaem.1a	Multiplex_set_I_Shaem.1a_1_Sample_20221028_215632.fsa.3
Multiplex_set_I_Shaem.1a_1_Sample_20221028_215632.fsa.4	3182	6574	191	Multiplex_set_I_Shaem.1a	Multiplex_set_I_Shaem.1a_1_Sample_20221028_215632.fsa.4
